Daily Finances;;;;;;;;;
;;;;;;;;;
Name;Datum;Revenue;Orders;Ad Spend;ROAS;Refunds;COG;Profit / Loss;% Margin
78;2024-03-09;1225;18;490;2,5;0;478;257;20,9795918367
77;2024-03-08;1154;18;446;2,5874439462;0;485;223;19,3240901213
76;2024-03-07;986;14;533;1,8499061914;0;373;80;8,1135902637
75;2024-03-06;1348;24;567;2,3774250441;0;513;268;19,881305638
74;2024-03-05;1141;21;526;2,1692015209;0;400;215;18,8431200701
73;2024-03-04;1477;23;498;2,9658634538;0;568;411;27,826675694
;2023-12-23 tot 2024-03-12;7331;118;3060;208,2870656411;0;2817;13173;1394,8428353409
